hrs,absences,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
9.18370370370361,15.0,4.0,3.0,3.0,1.0,4.0,31.0,Non-Travel,Sales,23.0,1.0,Medical,1.0,4065.0,Male,1.0,Sales Executive,Divorced,38670.0,1.0,Y,11.0,8.0,1.0,4.0,4.0,4.0,2.0,3.0,No
6.525485274430833,10.0,2.0,3.0,1.0,3.0,2.0,59.0,Travel_Frequently,Research & Development,10.0,4.0,Life Sciences,1.0,4223.0,Male,3.0,Research Scientist,Single,23080.0,7.0,Y,19.0,8.0,1.0,20.0,4.0,4.0,1.0,3.0,No
6.435205265506389,14.0,2.0,3.0,4.0,1.0,3.0,42.0,Travel_Rarely,Research & Development,11.0,1.0,Life Sciences,1.0,3482.0,Male,4.0,Research Scientist,Married,60320.0,0.0,Y,14.0,8.0,0.0,23.0,2.0,22.0,13.0,7.0,No
6.335101517179722,12.0,3.0,3.0,2.0,4.0,3.0,35.0,Travel_Rarely,Research & Development,10.0,5.0,Medical,1.0,251.0,Female,4.0,Laboratory Technician,Single,134580.0,1.0,Y,11.0,8.0,0.0,17.0,3.0,17.0,11.0,8.0,No
7.3977175368138886,19.0,2.0,3.0,2.0,4.0,3.0,42.0,Travel_Frequently,Sales,13.0,4.0,Life Sciences,1.0,375.0,Female,2.0,Laboratory Technician,Single,22880.0,5.0,Y,16.0,8.0,1.0,8.0,4.0,2.0,2.0,2.0,No
8.037553547523334,17.0,3.0,3.0,2.0,4.0,1.0,41.0,Travel_Rarely,Research & Development,7.0,2.0,Life Sciences,1.0,1213.0,Female,1.0,Research Scientist,Single,20990.0,8.0,Y,12.0,8.0,1.0,8.0,2.0,6.0,0.0,5.0,Yes
6.884039491298333,17.0,3.0,3.0,3.0,3.0,3.0,39.0,Travel_Frequently,Research & Development,22.0,3.0,Medical,1.0,1464.0,Female,1.0,Manufacturing Director,Single,129650.0,0.0,Y,19.0,8.0,1.0,20.0,2.0,19.0,11.0,8.0,No
7.419226907630278,6.0,3.0,3.0,3.0,4.0,3.0,29.0,Travel_Frequently,Research & Development,29.0,1.0,Life Sciences,1.0,3380.0,Male,1.0,Sales Representative,Married,192020.0,1.0,Y,12.0,8.0,0.0,3.0,5.0,3.0,0.0,2.0,No
7.674680946006111,21.0,4.0,3.0,3.0,4.0,3.0,38.0,Travel_Rarely,Research & Development,24.0,2.0,Other,1.0,490.0,Female,1.0,Laboratory Technician,Single,23260.0,8.0,Y,14.0,8.0,0.0,19.0,3.0,1.0,0.0,0.0,No
10.290413877733055,3.0,3.0,3.0,4.0,3.0,3.0,38.0,Travel_Rarely,Research & Development,7.0,4.0,Life Sciences,1.0,1355.0,Female,2.0,Research Director,Single,50420.0,3.0,Y,16.0,8.0,1.0,19.0,4.0,3.0,2.0,2.0,No
